person,position,start,end,prev,next,ps
Q19971925,Q19305384,2015-06-09,,,,statement/Q19971925-897969C3-8717-4BE9-80C3-6C1823F25730
Q19986193,Q19305384,2015-06-09,2017-03-22,,,statement/Q19986193-6081163B-B958-4237-9EF2-999D02E1B2AB
Q19986193,Q19305384,2015-06-09,2017-03-23,,,statement/Q19986193-6081163B-B958-4237-9EF2-999D02E1B2AB
Q19988346,Q19305384,2015-06-09,2018-10-10,,,statement/Q19988346-5EDB8D1D-2BDE-44FD-BD64-54BF72D3DD2F
Q19988346,Q19305384,2019-03-12,2021-03-31,,,statement/Q19988346-3dfe67a1-45ef-f428-026f-37f41488ceb3
Q20017729,Q19305384,1999-10-05,2003-06-10,,,statement/Q20017729-5ec9e88d-494a-5698-ee36-37068a1d5599
Q20026742,Q19305384,2015-06-09,,,,statement/Q20026742-ef6ca94c-4c88-fc27-39ec-b0c76f71f930
Q2003427,Q19305384,2011-06-07,2014-07-01,,,statement/Q2003427-A36F83AC-13A4-4DA2-B37D-C90E6A838A8F
Q20088078,Q19305384,2015-06-09,,,,statement/Q20088078-06d46cda-8536-45da-8b43-d2ae3b20920c
Q2008906,Q19305384,1991-06-11,2000-04-05,,,statement/Q2008906-4D588A36-C9BA-4134-A903-96FC72E13D71
Q20100030,Q19305384,2015-06-09,2021-03-31,,,statement/Q20100030-23a0557c-4e41-7229-9514-8b296d2a5b2b
Q20113631,Q19305384,2015-06-09,,,,statement/Q20113631-4bda9063-4e8f-c3c1-7f23-6fb1a2d801c7
Q20113636,Q19305384,2015-06-09,2019-06-11,,,statement/Q20113636-3b42d55c-4f85-4b76-d56f-581441689dfd
Q20113658,Q19305384,2015-06-09,,,,statement/Q20113658-2bac2bf9-437a-bf4b-2a05-26e9d6a2510d
Q20113669,Q19305384,2015-06-09,2019-06-11,,,statement/Q20113669-68fc234b-4c91-1bbd-d08a-5eedd1357ce3
Q20113694,Q19305384,2015-06-09,2019-06-11,,,statement/Q20113694-dee0939f-40c5-a3f6-2276-18e4c09c16cd
